Date,VIXY,USDJPY=X
2017-11-10,0.7799662352279122,0.0855374226223973
2017-11-13,0.6156443444006753,0.7079347214406303
2017-11-14,0.6741699493528419,0.34946539110861
2017-11-15,0.8519977490151942,0.2785593697242544
2017-11-17,0.3562183455261677,0.1671356218345526
2017-11-20,0.1738885762521103,0.04747841487602589
2017-11-21,0.09735509285312324,0.8413055711873945
2017-11-22,0.45526167698368036,0.2549240292628025
2017-11-24,0.5109735509285313,0.38097917839054585
2017-11-27,0.5436128306133934,0.7912211592571751
2017-11-28,0.3843556555993247,0.10410804727068093
2017-11-29,0.7816544738323017,0.8244231851435003
2017-11-30,0.6150815981992122,0.7411367473269556
2017-12-01,0.8114800225098481,0.8576252110298256
2017-12-04,0.46482836240855374,0.706809229037704
2017-12-05,0.5149127743387732,0.16994935284186832
2017-12-06,0.5740011254924029,0.4074282498593135
2017-12-07,0.1513787281935847,0.28812605514912776
2017-12-08,0.172763083849184,0.9431626336522229
2017-12-11,0.13787281935846932,0.7507034327518289
2017-12-12,0.6072031513787282,0.4389420371412493
2017-12-13,0.530106921778278,0.44456949915588073
2017-12-14,0.5115362971299944,0.03545301069217783
2017-12-15,0.144625773776027,0.15644344400675295
2017-12-18,0.3804164321890827,0.7152504220596512
2017-12-19,0.6274620146314013,0.3111986494091165
2017-12-20,0.537985368598762,0.7872819358469331
2017-12-21,0.4670793472144063,0.6646032639279685
2017-12-22,0.65053460889139,0.522228474957794
2017-12-26,0.5841305571187395,0.43837929093978617
2017-12-27,0.642656162070906,0.3505908835115363
2017-12-28,0.3489026449071469,0.45188519977490155
2017-12-29,0.7383230163196398,0.1862689926842994
2018-01-02,0.12943162633652222,0.5413618458075408
2018-01-03,0.3044456949915588,0.09622960045019696
2018-01-04,0.5362971299943725,0.7478897017445133
2018-01-05,0.5852560495216658,0.6094541361845808
2018-01-08,0.3899831176139561,0.7535171637591447
2018-01-09,0.6955543050084412,0.42712436691052336
2018-01-10,0.43837929093978617,0.1570061902082161
2018-01-11,0.4935284186831739,0.5073191381462768
2018-01-12,0.5858187957231289,0.3066966797974114
2018-01-16,0.9150253235790659,0.09566685424873382
2018-01-17,0.2504220596510974,0.2678671918964547
2018-01-18,0.6364659538548115,0.9583567810917276
2018-01-19,0.5323579065841306,0.17613956105796286
2018-01-22,0.28137310073157007,0.1812042768711311
2018-01-23,0.7366347777152504,0.6899268429938098
2018-01-24,0.8019133370849747,0.012380416432189083
2018-01-25,0.7422622397298818,0.027574563871693866
2018-01-26,0.47270680922903774,0.7670230725942601
2018-01-29,0.9347214406302757,0.23614604780770398
2018-01-30,0.8323016319639843,0.6983680360157569
2018-01-31,0.2594259988745076,0.265053460889139
2018-02-01,0.18176702307259426,0.8255486775464266
2018-02-02,0.9814293753517164,0.6392796848621272
2018-02-05,0.9988745075970737,0.88351153629713
2018-02-06,0.16207090602138435,0.0005627462014631402
2018-02-07,0.8621271806415307,0.8525604952166573
2018-02-08,0.996060776589758,0.1333708497467642
2018-02-09,0.8155677118671003,0.04839617332583005
2018-02-12,0.0742824985931345,0.6842993809791784
2018-02-13,0.5931344963421497,0.3410241980866629
2018-02-14,0.9184014704308359,0.0011254924029262803
2018-02-15,0.31176139561057964,0.4218951689774336
2018-02-16,0.7203151378728194,0.10523353967360721
2018-02-20,0.8739448508722566,0.8199212155317952
2018-02-21,0.7135621834552617,0.9037703995498031
2018-02-22,0.3376477208778841,0.6190208216094542
2018-02-23,0.5668222202418345,0.03263927968486213
2018-02-26,0.07597073719752392,0.6781091727630839
2018-02-27,0.9606077658975802,0.43725379853685986
2018-02-28,0.8806978052898143,0.7591446257737761
2018-03-01,0.9279684862127181,0.024198086662915026
2018-03-02,0.09060213843556557,0.10467079347214407
2018-03-05,0.04839617332583005,0.057962858750703436
2018-03-06,0.6685424873382105,0.9122115925717502
2018-03-07,0.4113674732695554,0.03601575689364097
2018-03-08,0.11480022509848059,0.899268429938098
2018-03-09,0.632184598619656,0.6494091164884637
2018-03-12,0.8700056274620147,0.839054586381542
2018-03-13,0.7715250422059652,0.05402363534046146
2018-03-14,0.7602701181767023,0.670793472144063
2018-03-15,0.18064153066966798,0.1654473832301632
