Date,ETH-USD,EURUSD=X
2017-11-10,0.009003939223410242,0.8441193021947102
2017-11-13,0.7630838491840181,0.6167698368036016
2017-11-14,0.9245920090039392,0.509848058525605
2017-11-15,0.3128868880135059,0.9859313449634215
2017-11-17,0.5306696679797411,0.33202025886325265
2017-11-20,0.806978052898143,0.11817670230725943
2017-11-21,0.2566122678671919,0.5683736634777715
2017-11-22,0.895329206527856,0.43669105233539673
2017-11-24,0.9938097917839055,0.7822172200337648
2017-11-27,0.6944288126055149,0.9161508159819921
2017-11-28,0.27687113111986494,0.28981429375351714
2017-11-29,0.47448209412218356,0.07597073719752392
2017-11-30,0.8615644344400676,0.5115362971299944
2017-12-01,0.8514350028137311,0.8232976927405741
2017-12-04,0.5920090039392234,0.16038266741699492
2017-12-05,0.28418683173888576,0.5509285312324141
2017-12-06,0.06446664658414238,0.18851997749015192
2017-12-07,0.642656162070906,0.23241418120427687
2017-12-08,0.8733821046707935,0.19977490151941474
2017-12-11,0.9949352841868317,0.45188519977490155
2017-12-12,1.0,0.5469893078221723
2017-12-13,0.947664603263928,0.18570624648283623
2017-12-14,0.33989870568373665,0.9589195272931909
2017-12-15,0.268992684299381,0.06359032076533484
2017-12-18,0.9752391671356219,0.20540236353404615
2017-12-19,0.839054586381542,0.7900956668542488
2017-12-20,0.3483398987056837,0.871131119864941
2017-12-21,0.5064715813168261,0.7692740574001126
2017-12-22,0.9205381526606087,0.29431626336522226
2017-12-26,0.6043894203714125,0.6353404614518852
2017-12-27,0.2926280247608329,0.3404614518851998
2017-12-28,0.12605514912774338,0.8024760832864378
2017-12-29,0.7208778840742825,0.7878446820483962
2018-01-02,0.9898705683736635,0.5391108610016883
2018-01-03,0.959482273494654,0.8463702870005628
2018-01-04,0.6921778277996624,0.09285312324141813
2018-01-05,0.6775464265616208,0.8722566122678672
2018-01-08,0.4192459200900394,0.21328081035453011
2018-01-09,0.9859313449634215,0.046707934721440636
2018-01-10,0.12718064153066966,0.14237478897017444
