Date,USO,QQQ
2017-11-10,0.3556555993247046,0.4068655036578503
2017-11-13,0.3550928531232414,0.47270680922903774
2017-11-14,0.08384918401800788,0.2746201463140124
2017-11-15,0.35284186831738884,0.2442318514350028
2017-11-17,0.9020821609454136,0.2684299380979178
2017-11-20,0.2965672481710748,0.3725379853685988
2017-11-21,0.6758581879572313,0.7867191896454699
2017-11-22,0.8047270680922904,0.4704558244231852
2017-11-24,0.7912211592571751,0.5723128868880135
2017-11-27,0.13787281935846932,0.38885762521102984
2017-11-28,0.41305571187394485,0.5272931907709623
2017-11-29,0.24198086662915025,0.04952166572875633
2017-11-30,0.43781654473832304,0.7259425998874508
2017-12-01,0.8024760832864378,0.2605514912774339
2017-12-04,0.15362971299943726,0.11986494091164886
2017-12-05,0.5413618458075408,0.44063027574563873
2017-12-06,0.028700056274620148,0.6010129431626337
2017-12-07,0.7023072594259989,0.5604952166572876
2017-12-08,0.7540799099606078,0.598199212155318
2017-12-11,0.6567248171074845,0.7039954980303883
2017-12-12,0.1710748452447946,0.3505908835115363
2017-12-13,0.23916713562183456,0.49690489589195275
2017-12-14,0.6359032076533484,0.3759144625773776
2017-12-15,0.505908835115363,0.8013505908835116
2017-12-18,0.39167135621834553,0.7265053460889139
2017-12-19,0.5880697805289814,0.21722003376477209
2017-12-20,0.6325267304445695,0.36128306133933596
2017-12-21,0.5053460889138999,0.4164321890827237
2017-12-22,0.4850872256612268,0.35959482273494653
2017-12-26,0.8987056837366348,0.22791221159257175
2017-12-27,0.3787281935846933,0.41699493528418685
2017-12-28,0.5391108610016883,0.46933033202025887
2017-12-29,0.5244794597636466,0.21271806415306696
2018-01-02,0.5548677546426561,0.9048958919527293
2018-01-03,0.8745075970737198,0.7591446257737761
2018-01-04,0.5014068655036579,0.4912774338773213
2018-01-05,0.325267304445695,0.7681485649971863
2018-01-08,0.5751266178953293,0.5807540799099606
2018-01-09,0.7782779966235228,0.413618458075408
2018-01-10,0.6330894766460327,0.3196398424310636
2018-01-11,0.48002250984805855,0.670793472144063
2018-01-12,0.7377602701181767,0.6865503657850309
2018-01-16,0.25323579065841306,0.3033202025886325
2018-01-17,0.47889701744513224,0.7850309510410804
2018-01-18,0.39898705683736635,0.421496904895892
2018-01-19,0.36409679234665165,0.5469893078221723
2018-01-22,0.5486775464265616,0.7839054586381542
2018-01-23,0.7692740574001126,0.7220033764772088
2018-01-24,0.8328643781654474,0.20596510973550927
2018-01-25,0.1992121553179516,0.39223410241980866
2018-01-26,0.7473269555430501,0.8733821046707935
2018-01-29,0.23579065841305571,0.24141812042768712
2018-01-30,0.14856499718626898,0.1654473832301632
2018-01-31,0.5920090039392234,0.5908835115362971
2018-02-01,0.8441193021947102,0.1615081598199212
2018-02-02,0.15813168261114238,0.03095104108047271
2018-02-05,0.09622960045019696,0.7374934248995504
2018-02-06,0.3072594259988745,0.9662352279122116
2018-02-07,0.05458638154192459,0.10073157006190209
2018-02-08,0.07653348339898706,0.7924143800011445
2018-02-09,0.10973550928531232,0.8998311761395611
2018-02-12,0.5042205965109736,0.9060213843556556
2018-02-13,0.39335959482273497,0.6178953292065279
2018-02-14,0.9105233539673607,0.9167135621834553
2018-02-15,0.7158131682611143,0.9144625773776027
2018-02-16,0.5368598761958356,0.2504220596510974
2018-02-20,0.45863815419245924,0.5030951041080473
2018-02-21,0.2622397298818233,0.3044456949915588
2018-02-22,0.8930782217220035,0.4051772650534609
2018-02-23,0.7557681485649972,0.9290939786156444
2018-02-26,0.6038266741699494,0.8446820483961733
2018-02-27,0.14518851997749013,0.10804727068092292
2018-02-28,0.08216094541361846,0.20821609454136183
2018-03-01,0.3972988182329769,0.06077658975801914
2018-03-02,0.48283624085537424,0.7445132245357344
2018-03-05,0.806978052898143,0.7940348902644907
2018-03-06,0.3984243106359032,0.5953854811480023
2018-03-07,0.12718064153066966,0.5160382667416995
2018-03-08,0.14631401238041641,0.6314012380416433
2018-03-09,0.9122115925717502,0.919527293190771
2018-03-12,0.26280247608328644,0.6235227912211593
2018-03-13,0.22622397298818234,0.09172763083849185
2018-03-14,0.522228474957794,0.4012380416432189
2018-03-15,0.5520540236353405,0.3674732695554305
2018-03-16,0.799099606077659,0.2988182329769274
2018-03-19,0.43781654473832304,0.020258863252673048
2018-03-20,0.8525604952166573,0.5526167698368036
2018-03-21,0.9285312324141812,0.2554867754642656
2018-03-22,0.12830613393359594,0.003376477208778841
2018-03-23,0.9043331457512662,0.10720281704327407
2018-03-26,0.3134496342149691,0.9904333145751266
2018-03-27,0.23522791221159256,0.5042245170986568
2018-03-28,0.3663477771525042,0.120427687113112
2018-03-29,0.5312324141812043,0.911648846370287
2018-04-02,0.046145188519977495,0.305105580312616
2018-04-03,0.5706246482836241,0.7979741136747327
2018-04-04,0.4563871693866067,0.8806978052898143
2018-04-05,0.4558244231851435,0.6359032076533484
2018-04-06,0.061902082160945414,0.0011254924029262803
2018-04-09,0.8536859876195836,0.6775464265616208
2018-04-10,0.9617332583005065,0.943725379853686
2018-04-11,0.7743387732132808,0.22059651097355093
2018-04-12,0.562183455261677,0.8210467079347215
2018-04-13,0.4952166572875633,0.23297692740574
2018-04-16,0.1935846933033202,0.6983680360157569
2018-04-17,0.4963421496904896,0.9386606640405177
2018-04-18,0.9538548114800225,0.5070343275182893
2018-04-19,0.26674169949352844,0.1513787281935847
2018-04-20,0.4040517726505346,0.06584130557118739
2018-04-23,0.7186268992684299,0.31063590320765333
2018-04-24,0.1322453573438379,0.021384355655599326
2018-04-25,0.5132245357343838,0.4682048396173326
2018-04-26,0.5295441755768149,0.9341586944288126
2018-04-27,0.3691615081598199,0.4389420371412493
2018-04-30,0.558244231851435,0.19189645469893077
2018-05-01,0.17163759144625773,0.8019133370849747
2018-05-02,0.5430500844119303,0.2177827799662352
2018-05-03,0.6871131119864942,0.40461451885199773
2018-05-04,0.8368036015756893,0.9178390545863816
2018-05-07,0.4535734383792909,0.7236916150815982
2018-05-08,0.37197523916713565,0.3624085537422622
2018-05-09,0.8700056274620147,0.7895329206527856
2018-05-10,0.509848058525605,0.7760270118176703
2018-05-11,0.21496904895891952,0.36522228474957796
2018-05-14,0.6454698930782218,0.4907146876758582
2018-05-15,0.4743950478334271,0.12661789532920653
2018-05-16,0.5385481148002251,0.6640405177265054
2018-05-17,0.4918401800787845,0.2678671918964547
