Asset 1,Asset 2,Copula,Param 1,Param 2,Log-Likelihood
AAPL,BTC-USD,Gaussian,0.13026576981279878,,16.012564229875352
AAPL,BTC-USD,Student-t,0.1299276087254046,2.1,423.0812160657606
AAPL,BTC-USD,Clayton,0.0001,,-0.1664730740789414
AAPL,ETH-USD,Gaussian,0.1391213421046038,,18.285313650024364
AAPL,ETH-USD,Student-t,0.13864386998298195,2.1,424.3736389761125
AAPL,ETH-USD,Clayton,0.0001,,-0.16771555032967797
AAPL,EURUSD=X,Gaussian,0.04521667646993066,,1.9149540963953768
AAPL,EURUSD=X,Student-t,-0.3811544396495963,2.1,195.1562645981594
AAPL,EURUSD=X,Clayton,0.0001,,-0.1776931926800639
AAPL,GLD,Gaussian,0.043035672599045796,,1.7351110882436842
AAPL,GLD,Student-t,-0.08438453509807022,2.1,392.4751582358922
AAPL,GLD,Clayton,0.0001,,-0.18450895038096324
AAPL,MSFT,Gaussian,0.602536864198758,,421.97656296220885
AAPL,MSFT,Student-t,0.602536864198758,5.0,541.499215769094
AAPL,MSFT,Clayton,0.0001,,-0.09504032252524128
AAPL,QQQ,Gaussian,0.7355740907846043,,728.6225080607555
AAPL,QQQ,Student-t,0.7355740907846043,5.0,846.2523341684637
AAPL,QQQ,Clayton,0.0001,,-0.07315982756912524
AAPL,SPY,Gaussian,0.6571711409949081,,528.9497713525252
AAPL,SPY,Student-t,0.6571711409949081,5.0,647.3346618734458
AAPL,SPY,Clayton,0.0001,,-0.08969994789529326
AAPL,TLT,Gaussian,-0.00737452662091459,,0.05077187758797663
AAPL,TLT,Student-t,0.07066011879131469,2.1,398.05462217350214
AAPL,TLT,Clayton,0.0001,,-0.18571274292162204
AAPL,USDJPY=X,Gaussian,0.024719360311110418,,0.5722417669603601
AAPL,USDJPY=X,Student-t,-0.07678024839064249,2.1,396.2640228104965
AAPL,USDJPY=X,Clayton,0.0001,,-0.18693720265332112
AAPL,USO,Gaussian,0.11778377613002876,,13.070186023556744
AAPL,USO,Student-t,0.11732314341264599,2.1,418.44560362554694
AAPL,USO,Clayton,0.0001,,-0.1717456934308289
AAPL,VIXY,Gaussian,-0.39097728992792025,,155.18182223456824
AAPL,VIXY,Student-t,-0.39097728992792025,5.0,274.2001080828095
AAPL,VIXY,Clayton,0.0001,,-0.24833561327842726
BTC-USD,ETH-USD,Gaussian,0.7511378402795557,,777.0201162866761
BTC-USD,ETH-USD,Student-t,0.7511378402795557,5.0,896.2460866928022
BTC-USD,ETH-USD,Clayton,0.0001,,-0.061423252769906386
BTC-USD,EURUSD=X,Gaussian,-0.0007809024581089588,,0.000565914998333028
BTC-USD,EURUSD=X,Student-t,0.015317153769959598,2.1,406.5719672900941
BTC-USD,EURUSD=X,Clayton,0.0001,,-0.1858108890581473
BTC-USD,GLD,Gaussian,0.10551843273467541,,10.475820712515997
BTC-USD,GLD,Student-t,0.10514219418136635,2.1,417.51512281805117
BTC-USD,GLD,Clayton,0.0001,,-0.17705203649418394
BTC-USD,MSFT,Gaussian,0.14396239261436566,,19.593607183585846
BTC-USD,MSFT,Student-t,0.14340188758177203,2.1,427.2062759195187
BTC-USD,MSFT,Clayton,0.0001,,-0.17179227187527826
BTC-USD,QQQ,Gaussian,0.19922713452965068,,37.890385368699754
BTC-USD,QQQ,Student-t,0.19922713452965068,5.0,155.88922058527896
BTC-USD,QQQ,Clayton,0.0001,,-0.16240299938441882
BTC-USD,SPY,Gaussian,0.1961906338336745,,36.72160133095531
BTC-USD,SPY,Student-t,0.1961906338336745,5.0,155.475500960747
BTC-USD,SPY,Clayton,0.0001,,-0.1633481430538613
BTC-USD,TLT,Gaussian,-0.0032463696713141074,,0.009827473003497289
BTC-USD,TLT,Student-t,0.04604824316540979,2.1,402.4382203696032
BTC-USD,TLT,Clayton,0.0001,,-0.1860845815418975
BTC-USD,USDJPY=X,Gaussian,-0.019555745643704308,,0.3575805163709447
BTC-USD,USDJPY=X,Student-t,0.15688622647054903,2.1,376.3673661385874
BTC-USD,USDJPY=X,Clayton,0.0001,,-0.1885188008778172
BTC-USD,USO,Gaussian,0.03501897237935811,,1.1482165097368124
BTC-USD,USO,Student-t,-0.35060678110798843,2.1,238.87443146932674
BTC-USD,USO,Clayton,0.0001,,-0.18168233309169562
BTC-USD,VIXY,Gaussian,-0.09202242739429262,,7.954516840723954
