Pair,Asset 1,Asset 2,Copula,Param 1,Param 2,Log-Likelihood,Num Params,AIC,BIC
MSFT_QQQ,MSFT,QQQ,Student-t,0.7976818685508039,5.0,1064.1545342856143,2,-2124.3090685712286,-2113.2406119186803
MSFT_SPY,MSFT,SPY,Student-t,0.7237025378069613,5.0,812.6869616049353,2,-1621.3739232098706,-1610.3054665573225
MSFT_TLT,MSFT,TLT,Student-t,0.0887909032133279,2.1,395.4968384096419,2,-786.9936768192838,-775.9252201667356
MSFT_USDJPY=X,MSFT,USDJPY=X,Student-t,0.0808769906728978,2.1,398.160058927323,2,-792.320117854646,-781.2516612020978
MSFT_USO,MSFT,USO,Student-t,0.1171972655464597,5.0,131.90174377418407,2,-259.80348754836814,-248.73503089581996
MSFT_VIXY,MSFT,VIXY,Student-t,-0.4101251823776431,5.0,291.6366873701754,2,-579.2733747403508,-568.2049180878026
QQQ_SPY,QQQ,SPY,Student-t,0.8836639520934899,5.0,1536.9750681771147,2,-3069.9501363542295,-3058.881679701681
QQQ_TLT,QQQ,TLT,Student-t,0.1945918082926072,2.1,357.70859681760794,2,-711.4171936352159,-700.3487369826677
QQQ_USDJPY=X,QQQ,USDJPY=X,Student-t,0.0233033363481016,2.1,402.95098470821085,2,-801.9019694164217,-790.8335127638735
QQQ_USO,QQQ,USO,Student-t,0.171692138031026,5.0,145.06248974246046,2,-286.1249794849209,-275.0565228323727
QQQ_VIXY,QQQ,VIXY,Student-t,-0.4777346022705372,5.0,359.8120604255855,2,-715.624120851171,-704.5556641986228
SPY_TLT,SPY,TLT,Student-t,-0.0414923686797042,2.1,404.49678952715385,2,-804.9935790543077,-793.9251224017595
SPY_USDJPY=X,SPY,USDJPY=X,Student-t,0.0213072023229423,2.1,404.0553908505463,2,-804.1107817010926,-793.0423250485444
SPY_USO,SPY,USO,Student-t,0.2205603045315368,5.0,164.47970863816045,2,-324.9594172763209,-313.8909606237727
SPY_VIXY,SPY,VIXY,Student-t,-0.5259588310321583,5.0,421.1540510693176,2,-838.3081021386351,-827.2396454860869
TLT_USDJPY=X,TLT,USDJPY=X,Student-t,-0.2241925162964166,2.1,342.0815785508494,2,-680.1631571016987,-669.0947004491505
TLT_USO,TLT,USO,Student-t,-0.0921000677948512,5.0,124.74726643343456,2,-245.49453286686912,-234.42607621432094
TLT_VIXY,TLT,VIXY,Student-t,0.1325723023328767,5.0,133.76347289165642,2,-263.52694578331284,-252.45848913076466
USDJPY=X_USO,USDJPY=X,USO,Student-t,0.0455284699947588,2.1,402.4193582178159,2,-800.8387164356318,-789.7702597830836
USDJPY=X_VIXY,USDJPY=X,VIXY,Student-t,0.1613442085497813,2.1,373.1953813737491,2,-742.3907627474982,-731.32230609495
USO_VIXY,USO,VIXY,Student-t,-0.1603121612246872,5.0,142.81298403799428,2,-281.62596807598857,-270.55751142344036
