Date,Close,High,Low,Open,Volume
2011-04-29,105.73479461669922,105.84330756026472,105.38604186836768,105.52555006314125,115094100
2011-05-02,105.57206726074219,106.31607167681204,105.36281084496261,106.23083176469342,126278700
2011-05-03,105.19230651855469,105.54881700826873,104.65754669685205,105.37056767628015,138375000
2011-05-04,104.49478912353516,105.19229465752932,104.02977755038202,105.14579586536111,182678500
2011-05-05,103.54930114746094,104.5878138612913,103.09204713811246,103.91355754832867,226900000
2011-05-06,104.00656127929688,105.11483409046637,103.60355190925893,104.5800741587455,222787200
2011-05-09,104.40955352783203,104.71180754936083,103.83604074243036,103.99879836590156,114104500
2011-05-10,105.30082702636719,105.48683407596816,104.62657068838962,104.75832124720483,114806900
2011-05-11,104.19255828857422,105.16132275968081,103.71205489514158,105.14581921693642,193564200
2011-05-12,104.68856048583984,104.90556277148568,103.37878908807473,103.91354894403683,171550700
2011-05-13,103.88252258300781,104.89003976553948,103.51052042317941,104.74278570780407,157444900
2011-05-16,103.2237777709961,104.32429262000599,103.0532743045276,103.51052822563115,141675400
2011-05-17,103.2082748413086,103.34778305367021,102.39451044211899,102.83627265123829,192686200
2011-05-18,104.13052368164062,104.23902479575925,103.03775485861661,103.26251476869164,135217900
2011-05-19,104.37854766845703,104.6498064355109,103.80504670206744,104.47155709399016,119489500
2011-05-20,103.54930114746094,104.37855741647101,103.35554824596699,104.10731044982263,182594900
2011-05-23,102.34803009033203,102.85954058494133,101.98377369196527,102.28602774319103,168700000
2011-05-24,102.26277160644531,102.86727966908536,102.06901871904176,102.64253152302186,147199600
2011-05-25,102.60375213623047,103.03001074380579,101.82099493012649,101.85199018079801,151050100
2011-05-26,103.07650756835938,103.2625145460479,102.13099279347807,102.32474562725318,164850000
2011-05-27,103.47181701660156,103.75082172645685,103.04557000426637,103.36331584197679,120921900
2011-05-31,104.54908752441406,104.56459107168617,103.7275769051169,104.44834403149945,164731200
2011-06-01,102.20077514648438,104.56456287402456,102.11552339808986,104.24680528221424,233094300
2011-06-02,102.09227752685547,102.48754102205278,101.49552709319562,102.27053871422396,200466800
2011-06-03,101.07701110839844,101.85202270575687,100.81351000347381,100.86775466590488,234690200
