Date,Close,High,Low,Open,Volume
2011-04-29,19.997913360595703,20.553410422546726,19.565860090189354,20.48397310585709,319317900
2011-05-02,19.797311782836914,20.0596301408658,19.658437184872717,20.013339098732967,89825600
2011-05-03,19.91304588317871,19.94390756790351,19.666158291644805,19.75102645307188,71892900
2011-05-04,20.105924606323242,20.25251464819627,19.897614145474773,19.94390519548933,73292300
2011-05-05,19.897611618041992,20.12135289099725,19.812743477490468,20.098206633147083,55600000
2011-05-06,19.959341049194336,20.22937346840811,19.8667574543451,20.1136450785213,55993000
2011-05-09,19.928468704223633,20.0287661960767,19.805024958143463,19.90532244999653,38696400
2011-05-10,19.80502700805664,19.943901604662386,19.480986773165128,19.581284275399454,120798700
2011-05-11,19.56586456298828,19.797321357154544,19.45013469433874,19.78960593447348,78600000
2011-05-12,19.53499412536621,19.589000588385563,19.365259317081712,19.55814038304554,77400000
2011-05-13,19.31125259399414,19.53499386228483,19.249530712579563,19.504133657360406,66812300
2011-05-16,18.956357955932617,19.342120230889538,18.902351472889254,19.2572520594978,91350900
2011-05-17,19.041776657104492,19.18156154884101,18.847631303295216,18.94858623554298,82882100
2011-05-18,19.17379379272461,19.21262226742918,18.832097586721208,19.049540896216346,53931100
2011-05-19,19.19709014892578,19.321343044552897,19.026242787741335,19.298046552379912,37783600
2011-05-20,19.018482208251953,19.313584030245003,18.979653722774238,19.1970956113883,45451500
2011-05-23,18.769975662231445,18.832102125458718,18.66125472188665,18.80103815323922,52692500
2011-05-24,18.754440307617188,18.86316270964596,18.669017361779918,18.79327026591727,47691800
2011-05-25,18.785511016845703,18.878699987790835,18.76221303350343,18.769979027950853,34904200
2011-05-26,19.158267974853516,19.437837822559093,18.886464120829967,18.909762101876044,78016600
2011-05-27,19.228158950805664,19.33687989152827,19.142734508116916,19.1660324873625,50251000
2011-05-31,19.422313690185547,19.461142193087298,19.181573713527335,19.38348370607136,60196300
2011-06-01,18.97188377380371,19.49219336926431,18.92528930470303,19.40676894157017,74033500
2011-06-02,18.808799743652344,19.142729960789104,18.777737259915472,19.01847706341887,51487800
2011-06-03,18.568065643310547,18.74667905298975,18.513705169165732,18.67678659160018,60697700
2011-06-06,18.645721435546875,18.832100812231815,18.45934205886193,18.552531006598596,54778700
2011-06-07,18.684547424316406,18.769971849355436,18.560294523102225,18.707845398748347,41112600
2011-06-08,18.59135627746582,18.65348272068262,18.52922983424902,18.560292315251797,42205000
2011-06-09,18.606887817382812,18.669015745283463,18.498166905979325,18.64571777232072,42878700
2011-06-10,18.412742614746094,18.653483893406175,18.39721211387394,18.653483893406175,49327200
2011-06-13,18.66901969909668,18.785506626157897,18.404981874445042,18.474874326924102,47572500
2011-06-14,18.808799743652344,18.987414579682003,18.785503251152534,18.870926192337457,42894500
2011-06-15,18.436044692993164,18.645722054174755,18.381684224807938,18.63795606140377,49410200
2011-06-16,18.63795280456543,18.715611237493402,18.366149029923236,18.443807462851208,57184100
2011-06-17,18.839868545532227,18.870931037244056,18.62242517870241,18.808804572608643,83320400
2011-06-20,19.00294303894043,19.150493894166434,18.76220326130627,18.76996925170882,54338400
2011-06-21,19.228158950805664,19.30581740041255,18.948589124705563,19.041779560476172,49708700
2011-06-22,19.142736434936523,19.26698937432958,19.0961419529671,19.103907946830645,44287300
2011-06-23,19.127201080322266,19.14273306531533,18.793272290241045,18.979651666522987,59470400
2011-06-24,18.870929718017578,19.057310580106076,18.785506760872973,19.0340126020421,101387200
2011-06-27,19.569852828979492,19.771762699381934,18.816567886186643,18.816567886186643,92044200
2011-06-28,20.035799026489258,20.128989443891935,19.53878741690547,19.647508336199067,81032100
2011-06-29,19.896018981933594,19.965909955273414,19.69410761114166,19.965909955273414,66051000
2011-06-30,20.191118240356445,20.191118240356445,19.927080421793317,19.989206880207487,52535400
2011-07-01,20.206647872924805,20.323134783739206,20.066862987462944,20.136755430193872,52906200
2011-07-05,20.21441650390625,20.307605452241045,20.113460081796656,20.268776970636818,37805300
2011-07-06,20.447389602661133,20.478453571769403,20.160053813255935,20.167819805533,48744200
2011-07-07,20.789081573486328,20.874504508510686,20.47068336178606,20.5716382781644,51946500
2011-07-08,20.90557289123535,20.952167363937388,20.587174612216877,20.610472589173686,58320700
2011-07-11,20.68036460876465,20.812383522473674,20.57164367319663,20.672600097262638,43999800
2011-07-12,20.61048126220703,20.80462670824344,20.45516431289302,20.618245776581748,47319300
2011-07-13,20.68036460876465,20.93663644346903,20.58717565862396,20.657068111835304,40861800
2011-07-14,20.55611228942871,20.975467020970925,20.470689329501432,20.672600702331568,46382300
2011-07-15,20.796850204467773,20.913337116988917,20.556108906551096,20.556108906551096,49132400
2011-07-18,20.6492977142334,20.890037512156063,20.393025934196668,20.680360197250188,44501900
2011-07-19,21.387052536010742,21.46470949129221,20.796850492360416,20.82014698646027,86730600
2011-07-20,21.01429557800293,21.23950493044409,20.952169115469456,21.185144460878764,49795400
2011-07-21,21.04535675048828,21.20843813749169,20.695894519464538,20.99876228008895,81737400
2011-07-22,21.379287719726562,21.394818222909876,20.7191931950601,20.85897809219083,76380600
2011-07-25,21.674392700195312,21.814177627528323,21.11525447207514,21.169614947990894,108482400
2011-07-26,21.806407928466797,21.860768395146017,21.57343407663825,21.604496565649963,74636500
2011-07-27,21.22396469116211,21.736508178053835,21.123009784257853,21.65108376983484,71488700
2011-07-28,21.526840209960938,21.79864405094063,21.130783438455403,21.192911384930095,83761400
2011-07-29,21.27832794189453,21.51906773714888,21.169607030723792,21.371518352334682,104394800
2011-08-01,21.1773738861084,21.503538114145247,20.77355122640347,21.363753233384973,61838400
2011-08-02,20.81238555908203,21.31716476638425,20.78132306639938,20.952170479183458,63883100
2011-08-03,20.90557289123535,20.96769934857526,20.56387663526007,20.835680441576507,64581200
2011-08-04,20.144521713256836,20.866742644453495,20.1367557215953,20.602704852807157,92949500
2011-08-05,19.942607879638672,20.26877208257524,19.593145704631183,20.167815684812513,112071700
2011-08-08,19.01071548461914,19.880487449298503,18.94082302847474,19.430070221485543,134257200
2011-08-09,19.86495590209961,19.896019874944187,18.661255097395507,19.189329304847565,126268900
2011-08-10,18.793277740478516,19.484434979784645,18.715619274203075,19.375714015726256,127819900
2011-08-11,19.56207847595215,19.709627819628388,18.94857869119726,19.0262370980437,90690100
2011-08-12,19.49220085144043,19.678580280597277,19.142738496013816,19.515497354327515,64787100
2011-08-15,19.810592651367188,19.864953115006564,19.5310228598372,19.6009153077197,56529400
2011-08-16,19.810596466064453,19.998152227248788,19.576150646663514,19.709002830489172,54251500
