Date,Close,High,Low,Open,Volume
2011-04-29,52.07933807373047,52.26445339154478,51.991185520478844,52.02644654177949,44831200
2011-05-02,51.98234558105469,52.308501455969314,51.85011849958084,52.15864387278733,48149400
2011-05-03,51.73552703857422,52.00879479807616,51.41818806445305,51.95590328771861,38100000
2011-05-04,51.656219482421875,51.89422636415846,51.2242836828335,51.762002560533595,53097200
2011-05-05,51.37413787841797,51.98237880675927,51.19783947400024,51.40058532922184,72200000
2011-05-06,51.541603088378906,52.18510139306717,51.40056241012771,51.88538953144901,72507000
2011-05-09,51.73552703857422,51.9382727842661,51.42700163484196,51.62974738053383,40022000
2011-05-10,52.176273345947266,52.25560892073276,51.81485647474096,51.88537848018331,38053600
2011-05-11,51.7972412109375,52.282071734293915,51.44464116802181,52.09695309688725,61900000
2011-05-12,52.105777740478516,52.176296414424684,51.338869086931616,51.63858101722334,66100000
2011-05-13,51.488712310791016,52.07050553724783,51.471081805422614,51.98235637308091,63506600
2011-05-16,50.59840393066406,51.409387166383645,50.48380730381647,51.2507159484949,73115300
2011-05-17,50.73944854736328,50.74826212118,50.22817383641737,50.333953535598035,63136000
2011-05-18,51.162559509277344,51.250708678856164,50.60721032544005,50.66891541668028,42351100
2011-05-19,51.31242752075195,51.42702416205413,50.99508504494665,51.32124445767775,35015800
2011-05-20,50.924560546875,51.31242166040858,50.85403851022756,51.25953349559879,44703300
2011-05-23,50.17528533935547,50.3780345388354,49.937281842477,50.228176873481914,43700000
2011-05-24,49.86674880981445,50.30750140906166,49.857935237406714,50.29868783665392,39314800
2011-05-25,50.0606803894043,50.29868719347541,49.77859899850715,49.80504307806769,41369000
2011-05-26,50.36919403076172,50.510234693087185,49.9019974673101,49.91081103753529,40564100
2011-05-27,50.624855041503906,50.677746575702194,50.41329226738698,50.457370227223656,30127200
2011-05-31,51.444644927978516,51.444644927978516,50.836404177013094,51.100858431872254,47590100
2011-06-01,50.32511901855469,51.444630737240125,50.28104444246109,51.3212205791082,51795000
2011-06-02,50.430912017822266,50.60721373152103,50.14883062097446,50.422098445341305,50198100
2011-06-03,49.67280960083008,50.23697567313238,49.60229094346417,49.84911128825736,57773700
2011-06-06,49.267333984375,49.831496876197214,49.24088989965711,49.55823236697613,50175600
2011-06-07,49.17918014526367,49.59348533828144,49.14391912718853,49.39955646421968,46311100
2011-06-08,48.82657241821289,49.16154533526972,48.685531720927194,49.07339279779399,46426400
2011-06-09,48.914730072021484,49.15273354141173,48.685536813287136,48.84420803466451,45307500
2011-06-10,48.165443420410156,48.782497730772974,48.12136883310041,48.685531621086255,53740600
2011-06-13,48.165443420410156,48.421080734552326,47.997958643562946,48.19188750026091,37736800
2011-06-14,48.78251266479492,48.89710931702265,48.50924475953696,48.53569221015967,40565300
2011-06-15,47.85691833496094,48.615013348472715,47.75995222448727,48.31530144458842,59022400
2011-06-16,47.67180252075195,48.04203308826538,47.266307575749764,47.88336188428092,66316200
2011-06-17,47.52251052856445,48.238128986478834,47.38115350488357,48.0614352345407,70337000
2011-06-20,47.769866943359375,47.91122391515469,47.389969449743944,47.389969449743944,37402900
2011-06-21,48.7946891784668,48.84769928862943,47.734510566718384,47.937710933686134,55892800
2011-06-22,48.441314697265625,48.874218945435906,48.432477990852995,48.59150500412013,36833300
2011-06-23,48.89188766479492,48.91839104288346,47.76103193013821,47.9200589391013,80743300
2011-06-24,48.04374694824219,48.70635837713951,47.94656339943602,48.66218495592289,56298300
